Degree	Network
43	Sanak_sho
8	Sanak_sho
7	Sanak_sho
6	Sanak_sho
10	Sanak_sho
176	Sanak_sho
22	Sanak_sho
8	Sanak_sho
9	Sanak_sho
7	Sanak_sho
5	Sanak_sho
25	Sanak_sho
21	Sanak_sho
5	Sanak_sho
8	Sanak_sho
16	Sanak_sho
18	Sanak_sho
13	Sanak_sho
1	Sanak_sho
2	Sanak_sho
5	Sanak_sho
8	Sanak_sho
10	Sanak_sho
27	Sanak_sho
48	Sanak_sho
16	Sanak_sho
9	Sanak_sho
13	Sanak_sho
9	Sanak_sho
17	Sanak_sho
15	Sanak_sho
12	Sanak_sho
9	Sanak_sho
62	Sanak_sho
5	Sanak_sho
2	Sanak_sho
10	Sanak_sho
24	Sanak_sho
7	Sanak_sho
10	Sanak_sho
15	Sanak_sho
11	Sanak_sho
20	Sanak_sho
6	Sanak_sho
10	Sanak_sho
8	Sanak_sho
3	Sanak_sho
2	Sanak_sho
1	Sanak_sho
2	Sanak_sho
3	Sanak_sho
2	Sanak_sho
11	Sanak_sho
6	Sanak_sho
1	Sanak_sho
4	Sanak_sho
21	Sanak_sho
18	Sanak_sho
5	Sanak_sho
3	Sanak_sho
18	Sanak_sho
13	Sanak_sho
22	Sanak_sho
14	Sanak_sho
22	Sanak_sho
4	Sanak_sho
3	Sanak_sho
35	Sanak_sho
5	Sanak_sho
10	Sanak_sho
6	Sanak_sho
5	Sanak_sho
1	Sanak_sho
24	Sanak_sho
12	Sanak_sho
27	Sanak_sho
30	Sanak_sho
20	Sanak_sho
26	Sanak_sho
24	Sanak_sho
10	Sanak_sho
14	Sanak_sho
13	Sanak_sho
10	Sanak_sho
13	Sanak_sho
29	Sanak_sho
24	Sanak_sho
26	Sanak_sho
26	Sanak_sho
15	Sanak_sho
21	Sanak_sho
36	Sanak_sho
22	Sanak_sho
18	Sanak_sho
20	Sanak_sho
6	Sanak_sho
29	Sanak_sho
17	Sanak_sho
14	Sanak_sho
49	Sanak_sho
17	Sanak_sho
36	Sanak_sho
6	Sanak_sho
30	Sanak_sho
12	Sanak_sho
18	Sanak_sho
4	Sanak_sho
39	Sanak_sho
21	Sanak_sho
8	Sanak_sho
11	Sanak_sho
27	Sanak_sho
42	Sanak_sho
60	Sanak_sho
35	Sanak_sho
21	Sanak_sho
35	Sanak_sho
16	Sanak_sho
40	Sanak_sho
38	Sanak_sho
34	Sanak_sho
17	Sanak_sho
17	Sanak_sho
45	Sanak_sho
20	Sanak_sho
34	Sanak_sho
40	Sanak_sho
12	Sanak_sho
3	Sanak_sho
5	Sanak_sho
8	Sanak_sho
9	Sanak_sho
31	Sanak_sho
19	Sanak_sho
2	Sanak_sho
25	Sanak_sho
1	Sanak_sho
8	Cadiz
6	Cadiz
18	Cadiz
4	Cadiz
29	Cadiz
29	Cadiz
9	Cadiz
14	Cadiz
26	Cadiz
22	Cadiz
16	Cadiz
14	Cadiz
41	Cadiz
13	Cadiz
32	Cadiz
19	Cadiz
12	Cadiz
23	Cadiz
28	Cadiz
27	Cadiz
14	Cadiz
20	Cadiz
19	Cadiz
13	Cadiz
31	Cadiz
15	Cadiz
12	Cadiz
24	Cadiz
14	Cadiz
13	Cadiz
36	Cadiz
37	Cadiz
11	Cadiz
23	Cadiz
19	Cadiz
27	Cadiz
19	Cadiz
18	Cadiz
27	Cadiz
17	Cadiz
10	Cadiz
11	Cadiz
8	Lions
9	Lions
2	Lions
2	Lions
3	Lions
10	Lions
16	Lions
21	Lions
8	Lions
13	Lions
13	Lions
10	Lions
16	Lions
23	Lions
5	Lions
7	Lions
10	Lions
14	Lions
14	Lions
9	Lions
4	Lions
7	Lions
12	Lions
9	Lions
4	Lions
13	Lions
11	Lions
9	Lions
10	Lions
8	Lions
8	Lions
8	Lions
19	Lions
3	Lions
11	Lions
9	Lions
7	Lions
2	Lions
11	Lions
11	Chilean
42	Chilean
38	Chilean
59	Chilean
52	Chilean
56	Chilean
58	Chilean
57	Chilean
35	Chilean
29	Chilean
56	Chilean
59	Chilean
62	Chilean
46	Chilean
66	Chilean
38	Chilean
36	Chilean
36	Chilean
43	Chilean
40	Chilean
38	Chilean
37	Chilean
35	Chilean
38	Chilean
37	Chilean
31	Chilean
41	Chilean
19	Chilean
38	Chilean
39	Chilean
39	Chilean
39	Chilean
16	Chilean
16	Chilean
24	Chilean
14	Chilean
36	Chilean
30	Chilean
12	Chilean
27	Chilean
24	Chilean
27	Chilean
27	Chilean
27	Chilean
16	Chilean
30	Chilean
13	Chilean
13	Chilean
13	Chilean
3	Chilean
13	Chilean
29	Chilean
29	Chilean
11	Chilean
22	Chilean
9	Chilean
9	Chilean
9	Chilean
26	Chilean
27	Chilean
24	Chilean
29	Chilean
6	Chilean
14	Chilean
18	Chilean
15	Chilean
36	Chilean
21	Chilean
34	Chilean
11	Chilean
24	Chilean
23	Chilean
11	Chilean
21	Chilean
19	Chilean
5	Chilean
24	Chilean
10	Chilean
30	Chilean
30	Chilean
14	Chilean
3	Chilean
12	Chilean
30	Chilean
26	Chilean
5	Chilean
26	Chilean
18	Chilean
11	Chilean
29	Chilean
23	Chilean
8	Chilean
30	Chilean
30	Chilean
15	Chilean
41	Chilean
19	Chilean
18	Chilean
18	Chilean
15	Chilean
3	Chilean
3	Chilean
3	Chilean
3	Chilean
3	Chilean
11	Chilean
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
17	SW_Pacific
20	SW_Pacific
1	SW_Pacific
1	SW_Pacific
2	SW_Pacific
2	SW_Pacific
3	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
2	SW_Pacific
4	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
4	SW_Pacific
1	SW_Pacific
2	SW_Pacific
1	SW_Pacific
1	SW_Pacific
7	SW_Pacific
1	SW_Pacific
2	SW_Pacific
1	SW_Pacific
1	SW_Pacific
5	SW_Pacific
1	SW_Pacific
4	SW_Pacific
2	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
8	SW_Pacific
1	SW_Pacific
4	SW_Pacific
1	SW_Pacific
5	SW_Pacific
1	SW_Pacific
2	SW_Pacific
5	SW_Pacific
1	SW_Pacific
1	SW_Pacific
2	SW_Pacific
1	SW_Pacific
1	SW_Pacific
2	SW_Pacific
5	SW_Pacific
1	SW_Pacific
2	SW_Pacific
2	SW_Pacific
1	SW_Pacific
16	SW_Pacific
2	SW_Pacific
3	SW_Pacific
2	SW_Pacific
2	SW_Pacific
1	SW_Pacific
4	SW_Pacific
21	SW_Pacific
3	SW_Pacific
2	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
2	SW_Pacific
1	SW_Pacific
1	SW_Pacific
2	SW_Pacific
4	SW_Pacific
14	SW_Pacific
4	SW_Pacific
1	SW_Pacific
2	SW_Pacific
1	SW_Pacific
4	SW_Pacific
8	SW_Pacific
2	SW_Pacific
10	SW_Pacific
2	SW_Pacific
23	SW_Pacific
7	SW_Pacific
13	SW_Pacific
12	SW_Pacific
17	SW_Pacific
3	SW_Pacific
5	SW_Pacific
10	SW_Pacific
15	SW_Pacific
2	SW_Pacific
2	SW_Pacific
11	SW_Pacific
1	SW_Pacific
1	SW_Pacific
1	SW_Pacific
2	SW_Pacific
1	SW_Pacific
2	SW_Pacific
8	SW_Pacific
1	SW_Pacific
3	Weddell
100	Weddell
174	Weddell
26	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
14	Weddell
49	Weddell
11	Weddell
57	Weddell
12	Weddell
30	Weddell
55	Weddell
9	Weddell
16	Weddell
2	Weddell
50	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
14	Weddell
2	Weddell
5	Weddell
75	Weddell
45	Weddell
4	Weddell
71	Weddell
5	Weddell
16	Weddell
57	Weddell
7	Weddell
1	Weddell
4	Weddell
63	Weddell
1	Weddell
23	Weddell
5	Weddell
23	Weddell
18	Weddell
12	Weddell
19	Weddell
27	Weddell
13	Weddell
33	Weddell
1	Weddell
1	Weddell
1	Weddell
6	Weddell
38	Weddell
13	Weddell
9	Weddell
20	Weddell
23	Weddell
11	Weddell
14	Weddell
17	Weddell
7	Weddell
11	Weddell
6	Weddell
5	Weddell
11	Weddell
32	Weddell
1	Weddell
6	Weddell
19	Weddell
41	Weddell
5	Weddell
16	Weddell
18	Weddell
12	Weddell
9	Weddell
17	Weddell
9	Weddell
1	Weddell
9	Weddell
7	Weddell
31	Weddell
3	Weddell
3	Weddell
4	Weddell
3	Weddell
29	Weddell
1	Weddell
2	Weddell
4	Weddell
3	Weddell
11	Weddell
5	Weddell
19	Weddell
1	Weddell
5	Weddell
6	Weddell
1	Weddell
11	Weddell
7	Weddell
9	Weddell
9	Weddell
2	Weddell
2	Weddell
2	Weddell
6	Weddell
18	Weddell
31	Weddell
26	Weddell
12	Weddell
18	Weddell
1	Weddell
8	Weddell
5	Weddell
5	Weddell
11	Weddell
10	Weddell
8	Weddell
8	Weddell
7	Weddell
5	Weddell
3	Weddell
3	Weddell
3	Weddell
4	Weddell
2	Weddell
4	Weddell
1	Weddell
2	Weddell
5	Weddell
14	Weddell
9	Weddell
9	Weddell
2	Weddell
2	Weddell
1	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
4	Weddell
27	Weddell
4	Weddell
3	Weddell
4	Weddell
4	Weddell
1	Weddell
1	Weddell
1	Weddell
8	Weddell
11	Weddell
6	Weddell
6	Weddell
6	Weddell
2	Weddell
11	Weddell
7	Weddell
4	Weddell
7	Weddell
13	Weddell
5	Weddell
4	Weddell
3	Weddell
7	Weddell
8	Weddell
6	Weddell
7	Weddell
7	Weddell
5	Weddell
6	Weddell
4	Weddell
1	Weddell
1	Weddell
4	Weddell
2	Weddell
9	Weddell
3	Weddell
9	Weddell
3	Weddell
4	Weddell
2	Weddell
28	Weddell
6	Weddell
5	Weddell
12	Weddell
1	Weddell
1	Weddell
5	Weddell
7	Weddell
4	Weddell
4	Weddell
2	Weddell
3	Weddell
20	Weddell
11	Weddell
16	Weddell
15	Weddell
34	Weddell
1	Weddell
1	Weddell
8	Weddell
3	Weddell
1	Weddell
1	Weddell
23	Weddell
4	Weddell
3	Weddell
1	Weddell
5	Weddell
8	Weddell
8	Weddell
5	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
2	Weddell
5	Weddell
5	Weddell
3	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
2	Weddell
2	Weddell
2	Weddell
2	Weddell
2	Weddell
2	Weddell
2	Weddell
6	Weddell
3	Weddell
1	Weddell
6	Weddell
2	Weddell
6	Weddell
6	Weddell
6	Weddell
5	Weddell
2	Weddell
1	Weddell
5	Weddell
6	Weddell
2	Weddell
3	Weddell
6	Weddell
2	Weddell
1	Weddell
3	Weddell
3	Weddell
1	Weddell
5	Weddell
1	Weddell
10	Weddell
1	Weddell
4	Weddell
4	Weddell
4	Weddell
3	Weddell
2	Weddell
3	Weddell
1	Weddell
7	Weddell
5	Weddell
1	Weddell
5	Weddell
6	Weddell
2	Weddell
5	Weddell
4	Weddell
4	Weddell
1	Weddell
3	Weddell
1	Weddell
2	Weddell
3	Weddell
2	Weddell
6	Weddell
1	Weddell
8	Weddell
1	Weddell
8	Weddell
6	Weddell
4	Weddell
13	Weddell
11	Weddell
14	Weddell
8	Weddell
32	Weddell
5	Weddell
13	Weddell
10	Weddell
13	Weddell
3	Weddell
8	Weddell
22	Weddell
23	Weddell
2	Weddell
2	Weddell
2	Weddell
2	Weddell
2	Weddell
2	Weddell
2	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
2	Weddell
1	Weddell
6	Weddell
2	Weddell
11	Weddell
5	Weddell
11	Weddell
10	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
3	Weddell
16	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
3	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
1	Weddell
2	Weddell
10	Weddell
4	Weddell
4	Weddell
4	Weddell
4	Weddell
4	Weddell
2	Weddell
2	Weddell
14	Weddell
9	Weddell
7	Weddell
3	Weddell
9	Weddell
9	Weddell
6	Weddell
7	Weddell
1	Weddell
1	Weddell
7	Weddell
4	Weddell
5	Weddell
5	Weddell
9	Weddell
6	Weddell
2	Weddell
2	Weddell
1	Weddell
6	Weddell
5	Weddell
8	Weddell
25	Weddell
14	Weddell
16	Weddell
7	Weddell
2	Weddell
20	Weddell
1	Weddell
16	Weddell
16	Weddell
13	Weddell
26	Weddell
26	Weddell
7	Weddell
14	Weddell
18	Weddell
1	Weddell
1	Weddell
20	Weddell
5	Weddell
1	Weddell
21	Weddell
22	Weddell
18	Weddell
2	Weddell
18	Weddell
20	Weddell
20	Weddell
17	Weddell
15	Weddell
11	Weddell
10	Weddell
6	Weddell
9	Weddell
8	Weddell
2	Weddell
6	Weddell
23	Weddell
1	Weddell
12	Weddell
8	Weddell
8	Weddell
7	Weddell
17	Weddell
2	Weddell
23	Weddell
7	Weddell
9	Weddell
7	Weddell
5	Weddell
7	Weddell
5	Weddell
7	Weddell
1	Weddell
14	Weddell
6	Weddell
6	Weddell
5	Weddell
1	Weddell
1	Weddell
7	Peru
2	Peru
3	Peru
4	Peru
3	Peru
8	Peru
6	Peru
1	Peru
3	Peru
13	Peru
1	Peru
4	Peru
2	Peru
3	Peru
5	Peru
5	Peru
6	Peru
15	Peru
1	Peru
6	Peru
7	Peru
1	Peru
1	Peru
3	Peru
1	Peru
3	Peru
2	Peru
4	Peru
2	Peru
2	Peru
4	Peru
4	Peru
8	Peru
1	Peru
1	Peru
1	Peru
3	Peru
5	Peru
7	Peru
3	Peru
2	Peru
4	Peru
2	Peru
1	Peru
2	Peru
4	Peru
